21/05 19:42:00 FINE sim.Admin|Log for simulation 4 started
************************************************************
* Log for simulation 4 started
************************************************************


21/05 19:42:00 INFO sim.TACAdxSimulation|TACAA Simulation 4 is setting up...
21/05 19:42:00 INFO sim.TACAdxSimulation|Created Adx Agent
21/05 19:42:00 INFO sim.TACAdxSimulation|Created Demand Agent
21/05 19:42:00 FINE generators.PopulationUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
21/05 19:42:00 FINE sim.ExternalAgent|sample setup with address adv1
21/05 19:42:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
21/05 19:42:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
21/05 19:42:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
21/05 19:42:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
21/05 19:42:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
21/05 19:42:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
21/05 19:42:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-7 simulationSetup
21/05 19:42:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
21/05 19:42:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
21/05 19:42:00 INFO agents.DemandAgent|setting up...
21/05 19:42:00 FINE agents.DemandAgent|Finished setup
21/05 19:42:00 INFO sim.Simulation|***** START OF TIME 0 *****
21/05 19:42:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1817935080, reachImps=5882, dayStart=1, dayEnd=5, targetSegment=[YOUNG, MALE], videoCoef=2.6015590349332927, mobileCoef=2.177763871526131, budgetMillis=5882, advertiser=adv1]
21/05 19:42:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@3f7e6be2 event: tau.tac.adx.messages.UserClassificationServiceNotification@6a659aeb
21/05 19:42:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=882766047, reachImps=5590, dayStart=1, dayEnd=5, targetSegment=[FEMALE, YOUNG], videoCoef=2.634136015746755, mobileCoef=2.354350862193397, budgetMillis=5590, advertiser=DummyAdnetwork]
21/05 19:42:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@3f7e6be2 event: tau.tac.adx.messages.UserClassificationServiceNotification@6d30db75
21/05 19:42:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=580392532, reachImps=3037, dayStart=1, dayEnd=5, targetSegment=[OLD, HIGH_INCOME], videoCoef=2.301651207859462, mobileCoef=1.7584331763354384, budgetMillis=3037, advertiser=DummyAdnetwork-2]
21/05 19:42:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@3f7e6be2 event: tau.tac.adx.messages.UserClassificationServiceNotification@2ee1f68a
21/05 19:42:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=303763994, reachImps=7020, dayStart=1, dayEnd=5, targetSegment=[FEMALE, OLD], videoCoef=2.593397822844164, mobileCoef=2.2626300097533183, budgetMillis=7020, advertiser=DummyAdnetwork-3]
21/05 19:42:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@3f7e6be2 event: tau.tac.adx.messages.UserClassificationServiceNotification@71b39e55
21/05 19:42:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1197480132, reachImps=10952, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, FEMALE], videoCoef=2.431388797566247, mobileCoef=1.5238997188858787, budgetMillis=10952, advertiser=DummyAdnetwork-4]
21/05 19:42:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@3f7e6be2 event: tau.tac.adx.messages.UserClassificationServiceNotification@75fa1077
21/05 19:42:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1951346979, reachImps=9077, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, MALE], videoCoef=2.001037755679995, mobileCoef=1.5353080246610697, budgetMillis=9077, advertiser=DummyAdnetwork-5]
21/05 19:42:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@3f7e6be2 event: tau.tac.adx.messages.UserClassificationServiceNotification@640b75cd
21/05 19:42:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=744691979, reachImps=1657, dayStart=1, dayEnd=5, targetSegment=[FEMALE, HIGH_INCOME], videoCoef=2.3596766166997574, mobileCoef=1.7066568213075208, budgetMillis=1657, advertiser=DummyAdnetwork-6]
21/05 19:42:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@3f7e6be2 event: tau.tac.adx.messages.UserClassificationServiceNotification@1e0137f1
21/05 19:42:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1644150426, reachImps=10952, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, FEMALE], videoCoef=2.302597266852541, mobileCoef=1.839763312826383, budgetMillis=10952, advertiser=DummyAdnetwork-7]
21/05 19:42:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@3f7e6be2 event: tau.tac.adx.messages.UserClassificationServiceNotification@2ffa7776
21/05 19:42:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@3f7e6be2 event: tau.tac.adx.messages.UserClassificationServiceNotification@64b8fc95
21/05 19:42:00 INFO agents.DemandAgent|Day 0 :Notifying new campaign opportunity: CampaignImpl [id=751750620, reachImps=27055, dayStart=2, dayEnd=11, targetSegment=[OLD], videoCoef=2.9086470978121617, mobileCoef=2.4535671978353224, budgetMillis=0, advertiser=null]
21/05 19:42:00 INFO sim.Simulation|***** START OF TIME 0 COMPLETE *****
21/05 19:42:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.11676332938836698 Cmp ID: 751750620 Cmp Bid: 15201
21/05 19:42:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.17113526759698316 Cmp ID: 751750620 Cmp Bid: 25366
21/05 19:42:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.10109942464631627 Cmp ID: 751750620 Cmp Bid: 13456
21/05 19:42:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.15179334879852 Cmp ID: 751750620 Cmp Bid: 1389
21/05 19:42:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.144606336153819 Cmp ID: 751750620 Cmp Bid: 15682
21/05 19:42:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.18140172402138 Cmp ID: 751750620 Cmp Bid: 21641
21/05 19:42:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.17507512041056483 Cmp ID: 751750620 Cmp Bid: 18414
21/05 19:42:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from adv1 : UCS Bid: 0.16322298158732365 Cmp ID: 751750620 Cmp Bid: 23495
21/05 19:42:10 INFO sim.Simulation|***** START OF TIME 1 *****
21/05 19:42:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork
21/05 19:42:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #882766047 at price 5.59
21/05 19:42:10 INFO demand.CampaignImpl|Applied daily limit for campaign #882766047 at price 5.59
21/05 19:42:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-2
21/05 19:42:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #580392532 at price 3.037
21/05 19:42:10 INFO demand.CampaignImpl|Applied daily limit for campaign #580392532 at price 3.037
21/05 19:42:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-3
21/05 19:42:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #303763994 at price 7.02
