24/05 12:21:00 FINE sim.Admin|Log for simulation 7 started
************************************************************
* Log for simulation 7 started
************************************************************


24/05 12:21:00 INFO sim.TACAdxSimulation|TACAA Simulation 7 is setting up...
24/05 12:21:00 INFO sim.TACAdxSimulation|Created Adx Agent
24/05 12:21:00 INFO sim.TACAdxSimulation|Created Demand Agent
24/05 12:21:00 FINE generators.PopulationUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
24/05 12:21:00 FINE sim.ExternalAgent|sample setup with address adv1
24/05 12:21:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
24/05 12:21:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
24/05 12:21:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
24/05 12:21:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
24/05 12:21:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
24/05 12:21:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
24/05 12:21:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-7 simulationSetup
24/05 12:21:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
24/05 12:21:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
24/05 12:21:00 INFO agents.DemandAgent|setting up...
24/05 12:21:00 FINE agents.DemandAgent|Finished setup
24/05 12:21:00 INFO sim.Simulation|***** START OF TIME 0 *****
24/05 12:21:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1621859392, reachImps=5882, dayStart=1, dayEnd=5, targetSegment=[MALE, YOUNG], videoCoef=2.2431255751625945, mobileCoef=1.7094496617612829, budgetMillis=5882, advertiser=adv1]
24/05 12:21:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@fa0784f event: tau.tac.adx.messages.UserClassificationServiceNotification@d112128
24/05 12:21:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1603784651, reachImps=1657, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, FEMALE], videoCoef=2.384235398205211, mobileCoef=2.2415131560750376, budgetMillis=1657, advertiser=DummyAdnetwork]
24/05 12:21:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@fa0784f event: tau.tac.adx.messages.UserClassificationServiceNotification@67cb4974
24/05 12:21:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=2040762124, reachImps=7020, dayStart=1, dayEnd=5, targetSegment=[OLD, FEMALE], videoCoef=2.3838757557659367, mobileCoef=1.9471192280469867, budgetMillis=7020, advertiser=DummyAdnetwork-2]
24/05 12:21:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@fa0784f event: tau.tac.adx.messages.UserClassificationServiceNotification@756a69a3
24/05 12:21:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=490571918, reachImps=1657, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, FEMALE], videoCoef=2.335103110388035, mobileCoef=2.1651169001573667, budgetMillis=1657, advertiser=DummyAdnetwork-3]
24/05 12:21:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@fa0784f event: tau.tac.adx.messages.UserClassificationServiceNotification@32d031a1
24/05 12:21:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=40524567, reachImps=3037, dayStart=1, dayEnd=5, targetSegment=[OLD, HIGH_INCOME], videoCoef=2.3679868551017504, mobileCoef=2.2760311783125102, budgetMillis=3037, advertiser=DummyAdnetwork-4]
24/05 12:21:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@fa0784f event: tau.tac.adx.messages.UserClassificationServiceNotification@1482443e
24/05 12:21:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1084155425, reachImps=6507, dayStart=1, dayEnd=5, targetSegment=[OLD, MALE], videoCoef=2.599956328797378, mobileCoef=1.8436442415841192, budgetMillis=6507, advertiser=DummyAdnetwork-5]
24/05 12:21:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@fa0784f event: tau.tac.adx.messages.UserClassificationServiceNotification@4dd0233f
24/05 12:21:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=465184002, reachImps=1657, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, FEMALE], videoCoef=2.4631846712268337, mobileCoef=1.5286235196587379, budgetMillis=1657, advertiser=DummyAdnetwork-6]
24/05 12:21:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@fa0784f event: tau.tac.adx.messages.UserClassificationServiceNotification@59d3b486
24/05 12:21:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1508964220, reachImps=5882, dayStart=1, dayEnd=5, targetSegment=[MALE, YOUNG], videoCoef=2.2559728479587626, mobileCoef=2.4310374339858356, budgetMillis=5882, advertiser=DummyAdnetwork-7]
24/05 12:21:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@fa0784f event: tau.tac.adx.messages.UserClassificationServiceNotification@490ed1c6
24/05 12:21:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@fa0784f event: tau.tac.adx.messages.UserClassificationServiceNotification@6bee43a2
24/05 12:21:00 INFO agents.DemandAgent|Day 0 :Notifying new campaign opportunity: CampaignImpl [id=1738176521, reachImps=10514, dayStart=2, dayEnd=4, targetSegment=[FEMALE, LOW_INCOME], videoCoef=2.8280359574984426, mobileCoef=1.5202416932201381, budgetMillis=0, advertiser=null]
24/05 12:21:00 INFO sim.Simulation|***** START OF TIME 0 COMPLETE *****
24/05 12:21:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.11211638737207116 Cmp ID: 1738176521 Cmp Bid: 5528
24/05 12:21:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.11070499083877146 Cmp ID: 1738176521 Cmp Bid: 9692
24/05 12:21:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.1109925466376094 Cmp ID: 1738176521 Cmp Bid: 9329
24/05 12:21:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.17211634171007728 Cmp ID: 1738176521 Cmp Bid: 3236
24/05 12:21:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.1117280308622481 Cmp ID: 1738176521 Cmp Bid: 5167
24/05 12:21:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.1906616819366681 Cmp ID: 1738176521 Cmp Bid: 9890
24/05 12:21:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.1126552440891451 Cmp ID: 1738176521 Cmp Bid: 7630
24/05 12:21:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from adv1 : UCS Bid: 0.13136240975040664 Cmp ID: 1738176521 Cmp Bid: 448
24/05 12:21:10 INFO sim.Simulation|***** START OF TIME 1 *****
24/05 12:21:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork
24/05 12:21:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1603784651 at price 1.657
24/05 12:21:10 INFO demand.CampaignImpl|Applied daily limit for campaign #1603784651 at price 1.657
24/05 12:21:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-2
24/05 12:21:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #2040762124 at price 7.02
24/05 12:21:10 INFO demand.CampaignImpl|Applied daily limit for campaign #2040762124 at price 7.02
24/05 12:21:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-3
24/05 12:21:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #490571918 at price 1.657
24/05 12:21:10 INFO demand.CampaignImpl|Applied daily limit for campaign #490571918 at price 1.657
24/05 12:21:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-4
24/05 12:21:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #40524567 at price 3.037
24/05 12:21:10 INFO demand.CampaignImpl|Applied daily limit for campaign #40524567 at price 3.037
24/05 12:21:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-5
24/05 12:21:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1084155425 at price 6.507
24/05 12:21:10 INFO demand.CampaignImpl|Applied daily limit for campaign #1084155425 at price 6.507
24/05 12:21:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-6
24/05 12:21:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #465184002 at price 1.657
24/05 12:21:10 INFO demand.CampaignImpl|Applied daily limit for campaign #465184002 at price 1.657
24/05 12:21:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-7
24/05 12:21:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1508964220 at price 5.882
24/05 12:21:10 INFO demand.CampaignImpl|Applied daily limit for campaign #1508964220 at price 5.882
24/05 12:21:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: adv1
24/05 12:21:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1621859392 at price 5.882
24/05 12:21:10 INFO demand.CampaignImpl|Applied daily limit for campaign #1621859392 at price 5.882
